Type,Description,Date,Pay,Multa,Usura
Pago, caução. Plano Kovi do Seu Jeito Sedan, 22/01/2022, 1.000.00 , ,
Pago, Plano Kovi do Seu Jeito Sedan, 22/01/2022,469.00,,
Pago, Plano Kovi do Seu Jeito Sedan (30 dias de espera para entrega), 07/03/2022,419.00,,
Pago, Plano Kovi do Seu Jeito Sedan (30 dias de espera para entrega), 14/03/2022,469.00,,
Pago, Plano Kovi do Seu Jeito Sedan (30 dias de espera para entrega), 21/03/2022,419.00,,
Pago, Plano Kovi do Seu Jeito Sedan (30 dias de espera para entrega), 28/03/2022,419.00,,
Saldo Creditado, caução. Plano Kovi do Seu Jeito Sedan (30 dias de espera para entrega), 05/04/2022, 1.000.00 ,,
Pago, Plano Kovi do Seu Jeito Sedan (30 dias de espera para entrega), 08/04/2022,469.00,,
Pago, Plano Kovi do Seu Jeito Sedan (30 dias de espera para entrega), 11/04/2022,419.00,,
Pago, Plano Kovi do Seu Jeito Sedan (30 dias de espera para entrega), 18/04/2022,419.00,,
Pago, Plano Kovi do Seu Jeito Sedan (30 dias de espera para entrega), 25/04/2022,419.00,,
Pago, Coparticipação por colisão - Kovi / Parcela 1, 26/04/2022,575.00,,
Pago, Plano Kovi do Seu Jeito Sedan (30 dias de espera para entrega), 02/05/2022,469.00,,
Pago, Plano Kovi do Seu Jeito Sedan (30 dias de espera para entrega), 09/05/2022,419.00,,
Pago, Plano Kovi do Seu Jeito Sedan (30 dias de espera para entrega), 16/05/2022,419.00,,
Pago, Plano Kovi do Seu Jeito Sedan (30 dias de espera para entrega), 23/05/2022,419.00,,
Pago, Plano Kovi do Seu Jeito Sedan (30 dias de espera para entrega), 30/05/2022,419.00,,
Pago, Plano Kovi do Seu Jeito Sedan (30 dias de espera para entrega), 06/06/2022,419.00,,
Pago, Plano Kovi do Seu Jeito Sedan (30 dias de espera para entrega), 13/06/2022,419.00,,
Pago, Coparticipação por colisão - Kovi / Parcela 2m, 13/06/2022,575.00,,
Pago, Plano Kovi do Seu Jeito Sedan (35 dias de espera para entrega), 20/06/2022,419.00,,
Saldo Creditado, caução. Plano Kovi do Seu Jeito Sedan (35 dias de espera para entrega),21/06/2022, 1.000.00,,
Pago, Plano Kovi do Seu Jeito Sedan (35 dias de espera para entrega), 27/06/2022,419.00,,
Pago, Plano Kovi do Seu Jeito Sedan (35 dias de espera para entrega), 04/07/2022,419.00,,
Saldo Creditado, Plano Kovi do Seu Jeito Sedan (35 dias de espera para entrega), 11/07/2022,419.00,,
Saldo Creditado, Outros, 15/07/2022,440.00,,
Pago, Plano Kovi do Seu Jeito Sedan (35 dias de espera para entrega), 18/07/2022,419.00,,
Saldo Creditado, Loja Kovi - Depósito Kovi Próprio 1/5, 19/07/2022, 1.400.00 ,,
Pago, Plano Kovi Proprio 48 + 12 - Carro seminovo - Grupo 02, 20/07/2022,459.00,,
Pago, Coparticipação por colisão - Kovi / Parcela 3,  24/07/2022,575.00,,
Pago, Plano Kovi Proprio 48 + 12 - Carro seminovo - Grupo 02, 26/07/2022,459.00,,
Pago, Plano Kovi Proprio 48 + 12 - Carro seminovo - Grupo 02, 02/08/2022,459.00,,
Pago, Plano Kovi Proprio 48 + 12 - Carro seminovo - Grupo 02, 09/08/2022,459.00,,
Pago, Plano Kovi Proprio 48 + 12 - Carro seminovo - Grupo 02 (Até 15/Ago/2022), 16/08/2022,459.00,,
